"text_id","num_human_raters","avg_human_rating","mad_human_rating","avg_ai_rating","human_rate_first","ai_rate_first","human_ai_diff"
2,1,2,0,0,2,0,2
3,2,2,0,0,2,-1,2
4,1,1,0,1,1,1,0
5,4,1.75,0.375,1.75,1,2,0
7,3,0.333333333333333,0.444444444444444,1.33333333333333,1,2,-1
8,2,-1,0,-0.5,-1,-1,-0.5
9,4,-0.5,1,-0.5,-2,-1,0
10,2,0.5,0.5,1,0,0,-0.5
11,1,0,0,2,0,2,-2
12,2,-1,1,1,0,2,-2
13,4,1.5,0.5,2,2,2,-0.5
14,2,1,1,1,0,1,0
15,3,1.66666666666667,0.444444444444444,1,2,1,0.666666666666667
16,4,1,0.5,1.75,1,2,-0.75
17,1,2,0,2,2,2,0
18,2,-0.5,0.5,-0.5,-1,-1,0
19,4,-0.5,1,0.25,0,1,-0.75
21,3,-1.33333333333333,0.444444444444444,-1,-1,-1,-0.333333333333333
22,1,2,0,1,2,1,1
23,2,0,1,-0.5,-1,-2,0.5
24,1,2,0,2,2,2,0
25,2,2,0,1.5,2,1,0.5
26,1,1,0,1,1,1,0
27,1,1,0,2,1,2,-1
28,2,2,0,2,2,2,0
30,5,-0.4,0.48,-0.6,0,0,0.2
31,2,0,0,0.5,0,0,-0.5
32,3,-1.33333333333333,0.444444444444444,-1.33333333333333,-2,-2,0
33,2,1,0,1,1,1,0
34,1,1,0,1,1,1,0
35,5,-0.2,0.64,-0.2,0,0,0
36,4,-1,0.5,-0.75,-1,0,-0.25
37,2,0,0,1,0,1,-1
38,1,1,0,1,1,1,0
39,6,0.5,0.5,0.833333333333333,0,1,-0.333333333333333
40,6,-1.5,0.5,-1.33333333333333,-1,-2,-0.166666666666667
41,2,-1.5,0.5,-1,-1,-1,-0.5
42,5,1.8,0.32,2,2,2,-0.2
43,2,1,1,1.5,0,1,-0.5
44,6,0.166666666666667,0.555555555555556,0.166666666666667,0,0,0
45,2,1.5,0.5,1.5,2,2,0
47,3,0.666666666666667,1.11111111111111,0.666666666666667,1,0,0
48,2,0.5,0.5,0,0,0,0.5
50,4,1.75,0.375,1.5,2,1,0.25
51,1,-2,0,-2,-2,-2,0
52,2,1,0,1,1,1,0
53,3,1,0,2,1,2,-1
54,5,1.8,0.32,2,2,2,-0.2
55,3,0.666666666666667,0.444444444444444,-0.333333333333333,1,0,1
56,2,2,0,2,2,2,0
58,2,2,0,2,2,2,0
59,3,-1.33333333333333,0.444444444444444,-1.66666666666667,-2,-2,0.333333333333333
60,4,-1,0.5,0,-2,-1,-1
61,2,1.5,0.5,2,2,2,-0.5
62,2,0,0,1,0,1,-1
63,1,0,0,1,0,1,-1
64,6,-1.33333333333333,0.666666666666667,-1.66666666666667,0,-2,0.333333333333333
65,2,-0.5,0.5,1,-1,0,-1.5
66,3,-0.333333333333333,0.888888888888889,0.666666666666667,-1,2,-1
67,2,0.5,0.5,-1,0,0,1.5
68,4,1.5,0.75,2,0,2,-0.5
69,6,-1.16666666666667,0.277777777777778,-1.33333333333333,-1,-1,0.166666666666667
70,3,1.66666666666667,0.444444444444444,1.66666666666667,2,2,0
71,3,1,0,1.66666666666667,1,2,-0.666666666666667
72,3,0.333333333333333,0.888888888888889,1,1,1,-0.666666666666667
73,4,2,0,2,2,2,0
74,5,-1.8,0.32,-1.4,-2,-1,-0.4
75,1,0,0,1,0,1,-1
76,2,0,0,1,0,0,-1
77,6,1,0.666666666666667,1,1,2,0
78,1,1,0,1,1,1,0
79,3,1.33333333333333,0.444444444444444,1,1,1,0.333333333333333
80,2,0,1,0.5,-1,0,-0.5
81,2,0,2,1,-2,0,-1
82,7,-0.285714285714286,0.612244897959184,-0.428571428571429,0,-1,0.142857142857143
83,3,0.333333333333333,0.444444444444444,2,0,2,-1.66666666666667
84,6,0,1,0.166666666666667,1,0,-0.166666666666667
86,2,2,0,1,2,1,1
87,5,1.2,0.32,1.4,1,1,-0.2
88,2,2,0,2,2,2,0
89,7,-1.85714285714286,0.244897959183673,-1.14285714285714,-2,-1,-0.714285714285714
90,1,0,0,0,0,0,0
91,4,0.25,0.75,0.75,1,1,-0.5
92,5,1.2,0.96,1.2,2,2,0
93,5,0,0.8,-0.2,1,1,0.2
94,2,1.5,0.5,1.5,2,2,0
95,2,2,0,2,2,2,0
96,2,2,0,2,2,2,0
97,2,2,0,2,2,2,0
99,4,2,0,1.5,2,1,0.5
100,6,1.66666666666667,0.444444444444444,1.16666666666667,1,0,0.5
101,3,2,0,2,2,2,0
102,3,1.33333333333333,0.444444444444444,1,1,2,0.333333333333333
103,3,1.33333333333333,0.444444444444444,1,1,1,0.333333333333333
104,5,0.8,0.64,1.6,1,1,-0.8
105,2,0.5,0.5,0,0,-1,0.5
106,1,0,0,0,0,0,0
107,5,-1.4,0.48,-1.2,-1,-2,-0.2
108,3,0,1.33333333333333,0.333333333333333,1,0,-0.333333333333333
109,5,0.6,0.48,1,0,1,-0.4
110,1,-1,0,1,-1,1,-2
111,4,-2,0,-2,-2,-2,0
112,4,0.25,0.375,1,0,1,-0.75
113,1,1,0,1,1,1,0
114,7,1.57142857142857,0.73469387755102,1.42857142857143,-1,0,0.142857142857143
116,7,0.857142857142857,0.244897959183673,0.571428571428571,0,-1,0.285714285714286
117,4,-0.75,0.875,0.5,-1,1,-1.25
118,2,1,0,1,1,1,0
119,3,-1.33333333333333,0.444444444444444,-1.33333333333333,-1,-1,0
120,2,1,0,1.5,1,2,-0.5
121,1,1,0,1,1,1,0
